2008,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Expense,Debt Service ,Expense:Debt Service ,2042212
2008,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Interest and Rental Income,Revenue:Interest and Rental Income,0
2008,Debt Service Fund,2001 Series GO Bond,Debt Service Fund:2001 Series GO Bond,Non Departmental,Library 2001 Series Bond Debt Service,Non Departmental:Library 2001 Series Bond Debt Service,Revenue,Taxes,Revenue:Taxes,1015906
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Benefits,Expense:Benefits,156005
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Consultant and Contract Services ,Expense:Consultant and Contract Services ,82200
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fees and Charges,Expense:Fees and Charges,18800
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Fixed Assets,Expense:Fixed Assets,0
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Internal Service Charges,Expense:Internal Service Charges,114908
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Materials and Supplies,Expense:Materials and Supplies,17500
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Meetings Events and Training,Expense:Meetings Events and Training,3000
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Expense,Salaries,Expense:Salaries,512790
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Fees Licenses and Permits ,Revenue:Fees Licenses and Permits ,28500
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Finance Services,Administrative Services:Finance Services,Revenue,Other Sources ,Revenue:Other Sources ,0
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Human Resources,Administrative Services:Human Resources,Expense,Benefits,Expense:Benefits,45700
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Human Resources,Administrative Services:Human Resources,Expense,Consultant and Contract Services ,Expense:Consultant and Contract Services ,20440
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Human Resources,Administrative Services:Human Resources,Expense,Fees and Charges,Expense:Fees and Charges,9000
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Human Resources,Administrative Services:Human Resources,Expense,Internal Service Charges,Expense:Internal Service Charges,27811
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Human Resources,Administrative Services:Human Resources,Expense,Materials and Supplies,Expense:Materials and Supplies,2615
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Human Resources,Administrative Services:Human Resources,Expense,Meetings Events and Training,Expense:Meetings Events and Training,28450
2008,General Funds,General Fund,General Funds:General Fund,Administrative Services,Human Resources,Administrative Services:Human Resources,Expense,Salaries,Expense:Salaries,187714
2008,General Funds,General Fund,General Funds:General Fund,City Manager,City Clerk,City Manager:City Clerk,Expense,Benefits,Expense:Benefits,33350
2008,General Funds,General Fund,General Funds:General Fund,City Manager,City Clerk,City Manager:City Clerk,Expense,Consultant and Contract Services ,Expense:Consultant and Contract Services ,70000
2008,General Funds,General Fund,General Funds:General Fund,City Manager,City Clerk,City Manager:City Clerk,Expense,Fees and Charges,Expense:Fees and Charges,11250
